dataset_name,fusionreg,mut_type,mut_param,sparsity,library,library_type,measurement_type,fusionreg_cat
lib_1_loose_bottle_func_score,0.0,nonsynonymous,shift_h2,0.0,lib_1,lib_1-nonsynonymous,loose_bottle,0.0
lib_1_loose_bottle_func_score,0.0,stop,shift_h2,0.0,lib_1,lib_1-stop,loose_bottle,0.0
lib_1_loose_bottle_func_score,5e-06,nonsynonymous,shift_h2,0.02,lib_1,lib_1-nonsynonymous,loose_bottle,5e-06
lib_1_loose_bottle_func_score,5e-06,stop,shift_h2,0.04,lib_1,lib_1-stop,loose_bottle,5e-06
lib_1_loose_bottle_func_score,1e-05,nonsynonymous,shift_h2,0.05789473684210526,lib_1,lib_1-nonsynonymous,loose_bottle,1e-05
lib_1_loose_bottle_func_score,1e-05,stop,shift_h2,0.16,lib_1,lib_1-stop,loose_bottle,1e-05
lib_1_loose_bottle_func_score,2e-05,nonsynonymous,shift_h2,0.13473684210526315,lib_1,lib_1-nonsynonymous,loose_bottle,2e-05
lib_1_loose_bottle_func_score,2e-05,stop,shift_h2,0.68,lib_1,lib_1-stop,loose_bottle,2e-05
lib_1_loose_bottle_func_score,4e-05,nonsynonymous,shift_h2,0.25157894736842107,lib_1,lib_1-nonsynonymous,loose_bottle,4e-05
lib_1_loose_bottle_func_score,4e-05,stop,shift_h2,0.98,lib_1,lib_1-stop,loose_bottle,4e-05
lib_1_loose_bottle_func_score,8e-05,nonsynonymous,shift_h2,0.4421052631578947,lib_1,lib_1-nonsynonymous,loose_bottle,8e-05
lib_1_loose_bottle_func_score,8e-05,stop,shift_h2,1.0,lib_1,lib_1-stop,loose_bottle,8e-05
lib_1_loose_bottle_func_score,0.00016,nonsynonymous,shift_h2,0.6326315789473684,lib_1,lib_1-nonsynonymous,loose_bottle,0.00016
lib_1_loose_bottle_func_score,0.00016,stop,shift_h2,1.0,lib_1,lib_1-stop,loose_bottle,0.00016
lib_1_loose_bottle_func_score,0.00032,nonsynonymous,shift_h2,0.5157894736842106,lib_1,lib_1-nonsynonymous,loose_bottle,0.00032
lib_1_loose_bottle_func_score,0.00032,stop,shift_h2,1.0,lib_1,lib_1-stop,loose_bottle,0.00032
lib_1_loose_bottle_func_score,0.00064,nonsynonymous,shift_h2,0.2631578947368421,lib_1,lib_1-nonsynonymous,loose_bottle,0.00064
lib_1_loose_bottle_func_score,0.00064,stop,shift_h2,1.0,lib_1,lib_1-stop,loose_bottle,0.00064
lib_1_observed_phenotype_func_score,0.0,nonsynonymous,shift_h2,0.0,lib_1,lib_1-nonsynonymous,observed_phenotype,0.0
lib_1_observed_phenotype_func_score,0.0,stop,shift_h2,0.0,lib_1,lib_1-stop,observed_phenotype,0.0
lib_1_observed_phenotype_func_score,5e-06,nonsynonymous,shift_h2,0.035789473684210524,lib_1,lib_1-nonsynonymous,observed_phenotype,5e-06
lib_1_observed_phenotype_func_score,5e-06,stop,shift_h2,0.02,lib_1,lib_1-stop,observed_phenotype,5e-06
lib_1_observed_phenotype_func_score,1e-05,nonsynonymous,shift_h2,0.08421052631578947,lib_1,lib_1-nonsynonymous,observed_phenotype,1e-05
lib_1_observed_phenotype_func_score,1e-05,stop,shift_h2,0.16,lib_1,lib_1-stop,observed_phenotype,1e-05
lib_1_observed_phenotype_func_score,2e-05,nonsynonymous,shift_h2,0.20842105263157895,lib_1,lib_1-nonsynonymous,observed_phenotype,2e-05
lib_1_observed_phenotype_func_score,2e-05,stop,shift_h2,0.98,lib_1,lib_1-stop,observed_phenotype,2e-05
lib_1_observed_phenotype_func_score,4e-05,nonsynonymous,shift_h2,0.44,lib_1,lib_1-nonsynonymous,observed_phenotype,4e-05
lib_1_observed_phenotype_func_score,4e-05,stop,shift_h2,0.98,lib_1,lib_1-stop,observed_phenotype,4e-05
lib_1_observed_phenotype_func_score,8e-05,nonsynonymous,shift_h2,0.6357894736842106,lib_1,lib_1-nonsynonymous,observed_phenotype,8e-05
