dataset_name,fusionreg,mut_type,mut_param,sparsity,library,library_type,measurement_type,fusionreg_cat
lib_1_tight_bottle_func_score,1e-05,stop,shift_h2,0.26,lib_1,lib_1-stop,tight_bottle,1e-05
lib_1_tight_bottle_func_score,2e-05,nonsynonymous,shift_h2,0.05263157894736842,lib_1,lib_1-nonsynonymous,tight_bottle,2e-05
lib_1_tight_bottle_func_score,2e-05,stop,shift_h2,0.6,lib_1,lib_1-stop,tight_bottle,2e-05
lib_1_tight_bottle_func_score,4e-05,nonsynonymous,shift_h2,0.1231578947368421,lib_1,lib_1-nonsynonymous,tight_bottle,4e-05
lib_1_tight_bottle_func_score,4e-05,stop,shift_h2,0.96,lib_1,lib_1-stop,tight_bottle,4e-05
lib_1_tight_bottle_func_score,8e-05,nonsynonymous,shift_h2,0.2694736842105263,lib_1,lib_1-nonsynonymous,tight_bottle,8e-05
lib_1_tight_bottle_func_score,8e-05,stop,shift_h2,0.98,lib_1,lib_1-stop,tight_bottle,8e-05
lib_1_tight_bottle_func_score,0.00016,nonsynonymous,shift_h2,0.4568421052631579,lib_1,lib_1-nonsynonymous,tight_bottle,0.00016
lib_1_tight_bottle_func_score,0.00016,stop,shift_h2,0.98,lib_1,lib_1-stop,tight_bottle,0.00016
lib_1_tight_bottle_func_score,0.00032,nonsynonymous,shift_h2,0.4968421052631579,lib_1,lib_1-nonsynonymous,tight_bottle,0.00032
lib_1_tight_bottle_func_score,0.00032,stop,shift_h2,1.0,lib_1,lib_1-stop,tight_bottle,0.00032
lib_1_tight_bottle_func_score,0.00064,nonsynonymous,shift_h2,0.30736842105263157,lib_1,lib_1-nonsynonymous,tight_bottle,0.00064
lib_1_tight_bottle_func_score,0.00064,stop,shift_h2,1.0,lib_1,lib_1-stop,tight_bottle,0.00064
lib_2_loose_bottle_func_score,0.0,nonsynonymous,shift_h2,0.0,lib_2,lib_2-nonsynonymous,loose_bottle,0.0
lib_2_loose_bottle_func_score,0.0,stop,shift_h2,0.0,lib_2,lib_2-stop,loose_bottle,0.0
lib_2_loose_bottle_func_score,5e-06,nonsynonymous,shift_h2,0.021052631578947368,lib_2,lib_2-nonsynonymous,loose_bottle,5e-06
lib_2_loose_bottle_func_score,5e-06,stop,shift_h2,0.22,lib_2,lib_2-stop,loose_bottle,5e-06
lib_2_loose_bottle_func_score,1e-05,nonsynonymous,shift_h2,0.05157894736842105,lib_2,lib_2-nonsynonymous,loose_bottle,1e-05
lib_2_loose_bottle_func_score,1e-05,stop,shift_h2,0.38,lib_2,lib_2-stop,loose_bottle,1e-05
lib_2_loose_bottle_func_score,2e-05,nonsynonymous,shift_h2,0.1168421052631579,lib_2,lib_2-nonsynonymous,loose_bottle,2e-05
lib_2_loose_bottle_func_score,2e-05,stop,shift_h2,0.84,lib_2,lib_2-stop,loose_bottle,2e-05
lib_2_loose_bottle_func_score,4e-05,nonsynonymous,shift_h2,0.26421052631578945,lib_2,lib_2-nonsynonymous,loose_bottle,4e-05
lib_2_loose_bottle_func_score,4e-05,stop,shift_h2,0.98,lib_2,lib_2-stop,loose_bottle,4e-05
lib_2_loose_bottle_func_score,8e-05,nonsynonymous,shift_h2,0.48947368421052634,lib_2,lib_2-nonsynonymous,loose_bottle,8e-05
lib_2_loose_bottle_func_score,8e-05,stop,shift_h2,1.0,lib_2,lib_2-stop,loose_bottle,8e-05
lib_2_loose_bottle_func_score,0.00016,nonsynonymous,shift_h2,0.7221052631578947,lib_2,lib_2-nonsynonymous,loose_bottle,0.00016
lib_2_loose_bottle_func_score,0.00016,stop,shift_h2,1.0,lib_2,lib_2-stop,loose_bottle,0.00016
lib_2_loose_bottle_func_score,0.00032,nonsynonymous,shift_h2,0.8578947368421053,lib_2,lib_2-nonsynonymous,loose_bottle,0.00032
lib_2_loose_bottle_func_score,0.00032,stop,shift_h2,1.0,lib_2,lib_2-stop,loose_bottle,0.00032
lib_2_loose_bottle_func_score,0.00064,nonsynonymous,shift_h2,0.7463157894736843,lib_2,lib_2-nonsynonymous,loose_bottle,0.00064
lib_2_loose_bottle_func_score,0.00064,stop,shift_h2,1.0,lib_2,lib_2-stop,loose_bottle,0.00064
lib_2_observed_phenotype_func_score,0.0,nonsynonymous,shift_h2,0.0,lib_2,lib_2-nonsynonymous,observed_phenotype,0.0
lib_2_observed_phenotype_func_score,0.0,stop,shift_h2,0.0,lib_2,lib_2-stop,observed_phenotype,0.0
lib_2_observed_phenotype_func_score,5e-06,nonsynonymous,shift_h2,0.10631578947368421,lib_2,lib_2-nonsynonymous,observed_phenotype,5e-06
lib_2_observed_phenotype_func_score,5e-06,stop,shift_h2,0.06,lib_2,lib_2-stop,observed_phenotype,5e-06
lib_2_observed_phenotype_func_score,1e-05,nonsynonymous,shift_h2,0.2094736842105263,lib_2,lib_2-nonsynonymous,observed_phenotype,1e-05
lib_2_observed_phenotype_func_score,1e-05,stop,shift_h2,0.1,lib_2,lib_2-stop,observed_phenotype,1e-05
lib_2_observed_phenotype_func_score,2e-05,nonsynonymous,shift_h2,0.48210526315789476,lib_2,lib_2-nonsynonymous,observed_phenotype,2e-05
lib_2_observed_phenotype_func_score,2e-05,stop,shift_h2,0.96,lib_2,lib_2-stop,observed_phenotype,2e-05
lib_2_observed_phenotype_func_score,4e-05,nonsynonymous,shift_h2,0.6936842105263158,lib_2,lib_2-nonsynonymous,observed_phenotype,4e-05
lib_2_observed_phenotype_func_score,4e-05,stop,shift_h2,0.96,lib_2,lib_2-stop,observed_phenotype,4e-05
lib_2_observed_phenotype_func_score,8e-05,nonsynonymous,shift_h2,0.8010526315789473,lib_2,lib_2-nonsynonymous,observed_phenotype,8e-05
lib_2_observed_phenotype_func_score,8e-05,stop,shift_h2,1.0,lib_2,lib_2-stop,observed_phenotype,8e-05
lib_2_observed_phenotype_func_score,0.00016,nonsynonymous,shift_h2,0.8326315789473684,lib_2,lib_2-nonsynonymous,observed_phenotype,0.00016
lib_2_observed_phenotype_func_score,0.00016,stop,shift_h2,1.0,lib_2,lib_2-stop,observed_phenotype,0.00016
lib_2_observed_phenotype_func_score,0.00032,nonsynonymous,shift_h2,0.8673684210526316,lib_2,lib_2-nonsynonymous,observed_phenotype,0.00032
lib_2_observed_phenotype_func_score,0.00032,stop,shift_h2,1.0,lib_2,lib_2-stop,observed_phenotype,0.00032
lib_2_observed_phenotype_func_score,0.00064,nonsynonymous,shift_h2,0.7294736842105263,lib_2,lib_2-nonsynonymous,observed_phenotype,0.00064
lib_2_observed_phenotype_func_score,0.00064,stop,shift_h2,1.0,lib_2,lib_2-stop,observed_phenotype,0.00064
lib_2_tight_bottle_func_score,0.0,nonsynonymous,shift_h2,0.0,lib_2,lib_2-nonsynonymous,tight_bottle,0.0
lib_2_tight_bottle_func_score,0.0,stop,shift_h2,0.0,lib_2,lib_2-stop,tight_bottle,0.0
lib_2_tight_bottle_func_score,5e-06,nonsynonymous,shift_h2,0.004210526315789474,lib_2,lib_2-nonsynonymous,tight_bottle,5e-06
lib_2_tight_bottle_func_score,5e-06,stop,shift_h2,0.08,lib_2,lib_2-stop,tight_bottle,5e-06
lib_2_tight_bottle_func_score,1e-05,nonsynonymous,shift_h2,0.03368421052631579,lib_2,lib_2-nonsynonymous,tight_bottle,1e-05
lib_2_tight_bottle_func_score,1e-05,stop,shift_h2,0.2,lib_2,lib_2-stop,tight_bottle,1e-05
lib_2_tight_bottle_func_score,2e-05,nonsynonymous,shift_h2,0.05263157894736842,lib_2,lib_2-nonsynonymous,tight_bottle,2e-05
lib_2_tight_bottle_func_score,2e-05,stop,shift_h2,0.44,lib_2,lib_2-stop,tight_bottle,2e-05
lib_2_tight_bottle_func_score,4e-05,nonsynonymous,shift_h2,0.1368421052631579,lib_2,lib_2-nonsynonymous,tight_bottle,4e-05
lib_2_tight_bottle_func_score,4e-05,stop,shift_h2,0.9,lib_2,lib_2-stop,tight_bottle,4e-05
lib_2_tight_bottle_func_score,8e-05,nonsynonymous,shift_h2,0.2673684210526316,lib_2,lib_2-nonsynonymous,tight_bottle,8e-05
lib_2_tight_bottle_func_score,8e-05,stop,shift_h2,0.98,lib_2,lib_2-stop,tight_bottle,8e-05
lib_2_tight_bottle_func_score,0.00016,nonsynonymous,shift_h2,0.4726315789473684,lib_2,lib_2-nonsynonymous,tight_bottle,0.00016
lib_2_tight_bottle_func_score,0.00016,stop,shift_h2,1.0,lib_2,lib_2-stop,tight_bottle,0.00016
lib_2_tight_bottle_func_score,0.00032,nonsynonymous,shift_h2,0.7273684210526316,lib_2,lib_2-nonsynonymous,tight_bottle,0.00032
lib_2_tight_bottle_func_score,0.00032,stop,shift_h2,1.0,lib_2,lib_2-stop,tight_bottle,0.00032
lib_2_tight_bottle_func_score,0.00064,nonsynonymous,shift_h2,0.7673684210526316,lib_2,lib_2-nonsynonymous,tight_bottle,0.00064
lib_2_tight_bottle_func_score,0.00064,stop,shift_h2,1.0,lib_2,lib_2-stop,tight_bottle,0.00064
